Timestamp,Date,"Vwap (ETCUSD)",Volume
1519002000,"2018-02-19 01:00:00",34.05240256,23634.4966507
1518998400,"2018-02-19 00:00:00",33.66802972,67647.90618821
1518994800,"2018-02-18 23:00:00",34.32342536,45720.81714762
1518991200,"2018-02-18 22:00:00",33.81113691,35382.24105046
1518987600,"2018-02-18 21:00:00",34.09483528,56668.31494608
1518984000,"2018-02-18 20:00:00",33.61002815,53771.90109437
1518980400,"2018-02-18 19:00:00",32.39288334,17401.48992443
1518976800,"2018-02-18 18:00:00",32.33905728,13302.37063348
1518973200,"2018-02-18 17:00:00",32.1317262,38119.73976654
1518969600,"2018-02-18 16:00:00",32.75230678,21705.96093903
1518966000,"2018-02-18 15:00:00",32.53513933,36830.66759485
1518962400,"2018-02-18 14:00:00",32.76160609,37661.44931024
1518958800,"2018-02-18 13:00:00",32.29309322,15955.03593546
1518955200,"2018-02-18 12:00:00",32.35742678,34940.73223434
1518951600,"2018-02-18 11:00:00",31.39625283,66971.31378494
1518948000,"2018-02-18 10:00:00",31.66459671,87141.57935201
1518944400,"2018-02-18 09:00:00",32.63753701,19868.08332267
1518940800,"2018-02-18 08:00:00",32.69384958,30556.82234315
1518937200,"2018-02-18 07:00:00",32.63646494,52336.66585833
1518933600,"2018-02-18 06:00:00",32.86838885,71661.60637658
1518930000,"2018-02-18 05:00:00",33.75107543,16977.3478059
1518926400,"2018-02-18 04:00:00",33.96213621,28106.13941603
1518922800,"2018-02-18 03:00:00",34.19735805,22688.31393434
1518919200,"2018-02-18 02:00:00",34.49759326,14235.99775347
1518915600,"2018-02-18 01:00:00",34.53894733,17674.63178073
1518912000,"2018-02-18 00:00:00",34.78558993,17070.49818067
1518908400,"2018-02-17 23:00:00",34.68183663,11162.84788609
1518904800,"2018-02-17 22:00:00",34.75333627,6064.11538395
1518901200,"2018-02-17 21:00:00",34.7043648,15644.56373865
1518897600,"2018-02-17 20:00:00",34.44584173,8712.57804779
1518894000,"2018-02-17 19:00:00",34.24960569,13363.05743588
1518890400,"2018-02-17 18:00:00",34.44972155,9742.83366138
1518886800,"2018-02-17 17:00:00",34.43715242,10575.41542926
1518883200,"2018-02-17 16:00:00",34.47339766,20365.49162337
1518879600,"2018-02-17 15:00:00",34.26148306,24281.4930528
1518876000,"2018-02-17 14:00:00",34.34255059,30200.05077537
1518872400,"2018-02-17 13:00:00",34.52550433,25776.2872331
1518868800,"2018-02-17 12:00:00",34.61195518,35342.7055212
1518865200,"2018-02-17 11:00:00",34.05903079,22558.10074702
1518861600,"2018-02-17 10:00:00",33.98510057,30265.37373035
1518858000,"2018-02-17 09:00:00",34.36585506,18532.08361189
1518854400,"2018-02-17 08:00:00",34.49063987,23880.66092475
